Date,Close/Last,Volume,Open,High,Low,,
16/03/2020,4.91,726972000,5.3102,5.6525,4.85,,
17/03/2020,5.4318,833632000,5.0228,5.5215,4.775,,
18/03/2020,5.0705,874266400,5.0024,5.2485,4.517,,
19/03/2020,5.3243,765514000,5.049,5.4183,4.8347,,
20/03/2020,5.1438,804634000,5.475,5.758,5.1283,,
23/03/2020,5.3173,643874800,5.1428,5.412,4.963,,
24/03/2020,6.2295,1101644000,5.725,6.3165,5.7013,,
25/03/2020,6.1405,793430800,6.345,6.5455,6.0915,,
26/03/2020,6.431,697587600,6.3485,6.5555,6.25,,
27/03/2020,6.3182,638829600,6.25,6.5779,6.217,,
30/03/2020,6.6397,602250000,6.384,6.649,6.3398,,
31/03/2020,6.59,949960400,6.68,6.885,6.4438,,
01/04/2020,6.0768,656913200,6.3913,6.5382,6.032,,
02/04/2020,6.3868,675764400,6.106,6.4,6.0578,,
03/04/2020,6.0978,663214000,6.349,6.3908,5.9597,,
06/04/2020,6.71,727882400,6.381,6.747,6.3233,,
07/04/2020,6.4757,784522000,6.9325,6.9563,6.4325,,
08/04/2020,6.6738,542444400,6.5853,6.6988,6.515,,
09/04/2020,6.5738,526248000,6.8,6.823,6.5105,,
13/04/2020,6.7463,398407280,6.5138,6.755,6.425,,
14/04/2020,7.0987,530946800,6.875,7.133,6.8472,,
15/04/2020,7.021,366148840,6.93,7.1042,6.8845,,
16/04/2020,7.3675,745620400,7.177,7.475,7.1638,,
17/04/2020,7.308,539122000,7.45,7.4715,7.1735,,
20/04/2020,7.1763,449388400,7.181,7.3375,7.1318,,
21/04/2020,6.7378,735160000,7.0578,7.1193,6.6778,,
22/04/2020,7.1537,484729200,6.9308,7.1968,6.885,,
23/04/2020,7.1003,424159600,7.196,7.3284,7.075,,
24/04/2020,7.2397,352645480,7.09,7.2418,7.015,,
27/04/2020,7.427,479388000,7.3748,7.5875,7.35,,
28/04/2020,7.284,442904000,7.575,7.605,7.2785,,
29/04/2020,7.4615,379161880,7.4192,7.5145,7.3438,,
30/04/2020,7.307,375917720,7.4073,7.4615,7.293,,
01/05/2020,7.0695,342097800,7.1088,7.2225,7.0211,,
04/05/2020,7.2821,317555200,7.022,7.296,7.022,,
05/05/2020,7.3435,368895640,7.3868,7.5068,7.2823,,
06/05/2020,7.4448,323465560,7.4233,7.55,7.3853,,
07/05/2020,7.6218,373730520,7.5845,7.6853,7.5331,,
08/05/2020,7.8125,339907120,7.6938,7.8188,7.6597,,
11/05/2020,8.0655,469060000,7.8075,8.1125,7.7787,,
12/05/2020,7.8025,493059200,8.1235,8.1725,7.7927,,
13/05/2020,7.78,625850000,7.9175,8.0785,7.5948,,
14/05/2020,8.0305,602312400,7.8416,8.036,7.6875,,
15/05/2020,8.4908,987661600,7.8897,8.5005,7.874,,
18/05/2020,8.7502,776403600,8.7605,8.9165,8.6805,,
19/05/2020,8.8055,717322000,8.7903,9.0875,8.7628,,
20/05/2020,8.97,587536400,8.991,9.043,8.8887,,
21/05/2020,8.7752,761069600,9.0515,9.0524,8.7375,,
22/05/2020,9.0263,1038765200,8.8253,9.093,8.7133,,
26/05/2020,8.7178,770779200,9.1568,9.1817,8.672,,
27/05/2020,8.5252,1175892400,8.625,8.6327,7.9968,,
28/05/2020,8.487,736128000,8.4123,8.7605,8.3793,,
29/05/2020,8.8755,745919600,8.5545,8.8755,8.485,,
